Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm),State,Year,Month,Day,Collection Site,Commodity Code,Analyzing Lab Code
ND0804215003WUMT1,WU,758,Bentazon,F,0.3,0.18,T,LU,,Q,H,O,811,52,,ND,8,4,21,50,3,WU,MT1
ND0804215003WUMT1,WU,26,"2,4-D",G,5.8,0.65,T,LU,,,H,O,811,52,,ND,8,4,21,50,3,WU,MT1
ND0804215003WUMT1,WU,731,Triclopyr,G,2.7,1.6,T,LU,,Q,H,O,811,52,,ND,8,4,21,50,3,WU,MT1
ND0804215003WUMT1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,2,0.36,T,LU,,,H,O,811,52,,ND,8,4,21,50,3,WU,MT1
ND0804215003WUMT1,WU,318,MCPA,G,1.3,0.78,T,LU,,Q,H,O,811,52,,ND,8,4,21,50,3,WU,MT1
ND0804215003WUMT1,WU,942,Prometon,R,0.7,0.17,T,LU,,,H,R,811,52,,ND,8,4,21,50,3,WU,MT1
ND0805055003WUMT1,WU,964,Desethyl atrazine,R,1.6,0.43,T,LU,,,H,O,811,52,,ND,8,5,5,50,3,WU,MT1
ND0805055003WUMT1,WU,318,MCPA,G,1.3,0.78,T,LU,,Q,H,O,811,52,,ND,8,5,5,50,3,WU,MT1
ND0805055003WUMT1,WU,942,Prometon,R,0.66,0.17,T,LU,,,H,O,811,52,,ND,8,5,5,50,3,WU,MT1
ND0805055003WUMT1,WU,758,Bentazon,F,0.3,0.18,T,LU,,Q,H,O,811,52,,ND,8,5,5,50,3,WU,MT1
ND0805055003WUMT1,WU,26,"2,4-D",G,9.5,0.65,T,LU,,,H,O,811,52,,ND,8,5,5,50,3,WU,MT1
ND0805055003WUMT1,WU,305,Atrazine,R,5.5,0.66,T,LU,,,H,O,811,52,,ND,8,5,5,50,3,WU,MT1
ND0805055003WUMT1,WU,ACP,Sulfometuron methyl,K,3.2,1.9,T,LU,,Q,H,O,811,52,,ND,8,5,5,50,3,WU,MT1
ND0805055003WUMT1,WU,ABP,Alachlor ethanesulfonic acid (ESA),A,2.8,1.7,T,LU,,Q,H,O,811,52,,ND,8,5,5,50,3,WU,MT1
ND0805055003WUMT1,WU,731,Triclopyr,G,2.7,1.6,T,LU,,Q,H,O,811,52,,ND,8,5,5,50,3,WU,MT1
ND0805195003WUMT1,WU,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,5,19,50,3,WU,MT1
ND0805195003WUMT1,WU,758,Bentazon,F,0.3,0.18,T,LU,,Q,H,O,811,52,,ND,8,5,19,50,3,WU,MT1
ND0805195003WUMT1,WU,26,"2,4-D",G,5.5,0.65,T,LU,,,H,O,811,52,,ND,8,5,19,50,3,WU,MT1
ND0805195003WUMT1,WU,ABP,Alachlor ethanesulfonic acid (ESA),A,2.8,1.7,T,LU,,Q,H,O,811,52,,ND,8,5,19,50,3,WU,MT1
ND0805195003WUMT1,WU,731,Triclopyr,G,2.7,1.6,T,LU,,Q,H,O,811,52,,ND,8,5,19,50,3,WU,MT1
ND0805195003WUMT1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,1.9,0.36,T,LU,,,H,O,811,52,,ND,8,5,19,50,3,WU,MT1
ND0805195003WUMT1,WU,318,MCPA,G,1.3,0.78,T,LU,,Q,H,O,811,52,,ND,8,5,19,50,3,WU,MT1
ND0805195003WUMT1,WU,305,Atrazine,R,1.1,0.66,T,LU,,Q,H,O,811,52,,ND,8,5,19,50,3,WU,MT1
ND0805195003WUMT1,WU,AEE,Imazamethabenz acid,J,1,0.6,T,LU,,Q,H,O,811,52,,ND,8,5,19,50,3,WU,MT1
ND0805195003WUMT1,WU,942,Prometon,R,0.73,0.17,T,LU,,,H,O,811,52,,ND,8,5,19,50,3,WU,MT1
ND0806095003WUMT1,WU,942,Prometon,R,0.28,0.17,T,LU,,Q,H,O,811,52,,ND,8,6,9,50,3,WU,MT1
ND0806095003WUMT1,WU,731,Triclopyr,G,12,1.6,T,LU,,,H,O,811,52,,ND,8,6,9,50,3,WU,MT1
ND0806095003WUMT1,WU,26,"2,4-D",G,9.4,0.65,T,LU,,,H,O,811,52,,ND,8,6,9,50,3,WU,MT1
ND0806095003WUMT1,WU,318,MCPA,G,5.3,0.78,T,LU,,,H,O,811,52,,ND,8,6,9,50,3,WU,MT1
ND0806095003WUMT1,WU,305,Atrazine,R,1.1,0.66,T,LU,,Q,H,O,811,52,,ND,8,6,9,50,3,WU,MT1
ND0806095003WUMT1,WU,964,Desethyl atrazine,R,0.72,0.43,T,LU,,Q,H,O,811,52,,ND,8,6,9,50,3,WU,MT1
ND0806235003WUMT1,WU,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,6,23,50,3,WU,MT1
ND0806235003WUMT1,WU,758,Bentazon,F,0.3,0.18,T,LU,,Q,H,O,811,52,,ND,8,6,23,50,3,WU,MT1
ND0806235003WUMT1,WU,26,"2,4-D",G,10,0.65,T,LU,,,H,O,811,52,,ND,8,6,23,50,3,WU,MT1
ND0806235003WUMT1,WU,318,MCPA,G,6.2,0.78,T,LU,,,H,O,811,52,,ND,8,6,23,50,3,WU,MT1
ND0806235003WUMT1,WU,B46,Clopyralid,G,5.7,3.4,T,LU,,Q,H,O,811,52,,ND,8,6,23,50,3,WU,MT1
ND0806235003WUMT1,WU,731,Triclopyr,G,5.6,1.6,T,LU,,,H,O,811,52,,ND,8,6,23,50,3,WU,MT1
ND0806235003WUMT1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,1.8,0.36,T,LU,,,H,O,811,52,,ND,8,6,23,50,3,WU,MT1
ND0806235003WUMT1,WU,305,Atrazine,R,1.1,0.66,T,LU,,Q,H,O,811,52,,ND,8,6,23,50,3,WU,MT1
ND0806235003WUMT1,WU,964,Desethyl atrazine,R,0.72,0.43,T,LU,,Q,H,O,811,52,,ND,8,6,23,50,3,WU,MT1
ND0807075003WUMT1,WU,731,Triclopyr,G,2.7,1.6,T,LU,,Q,H,O,811,52,,ND,8,7,7,50,3,WU,MT1
ND0807075003WUMT1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,1.3,0.36,T,LU,,,H,O,811,52,,ND,8,7,7,50,3,WU,MT1
ND0807075003WUMT1,WU,964,Desethyl atrazine,R,0.72,0.43,T,LU,,Q,H,O,811,52,,ND,8,7,7,50,3,WU,MT1
ND0807075003WUMT1,WU,758,Bentazon,F,0.3,0.18,T,LU,,Q,H,O,811,52,,ND,8,7,7,50,3,WU,MT1
ND0807075003WUMT1,WU,942,Prometon,R,0.28,0.17,T,LU,,Q,H,O,811,52,,ND,8,7,7,50,3,WU,MT1
ND0807075003WUMT1,WU,26,"2,4-D",G,15,0.65,T,LU,,,H,O,811,52,,ND,8,7,7,50,3,WU,MT1
ND0807075003WUMT1,WU,318,MCPA,G,8.1,0.78,T,LU,,,H,O,811,52,,ND,8,7,7,50,3,WU,MT1
ND0807075003WUMT1,WU,B46,Clopyralid,G,5.7,3.4,T,LU,,Q,H,O,811,52,,ND,8,7,7,50,3,WU,MT1
ND0807215003WUMT1,WU,758,Bentazon,F,2.3,0.18,T,LU,,,H,O,811,52,,ND,8,7,21,50,3,WU,MT1
ND0807215003WUMT1,WU,ACB,Imazapyr,J,2,1,T,LU,,Q,H,O,811,52,,ND,8,7,21,50,3,WU,MT1
ND0807215003WUMT1,WU,AEY,Dimethenamid oxanilic acid (OA),F,1.05,0.63,T,LU,,Q,H,O,811,52,,ND,8,7,21,50,3,WU,MT1
ND0807215003WUMT1,WU,964,Desethyl atrazine,R,0.72,0.43,T,LU,,Q,H,O,811,52,,ND,8,7,21,50,3,WU,MT1
ND0807215003WUMT1,WU,942,Prometon,R,0.59,0.17,T,LU,,,H,O,811,52,,ND,8,7,21,50,3,WU,MT1
ND0807215003WUMT1,WU,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,7,21,50,3,WU,MT1
ND0807215003WUMT1,WU,26,"2,4-D",G,11,0.65,T,LU,,,H,O,811,52,,ND,8,7,21,50,3,WU,MT1
ND0807215003WUMT1,WU,B46,Clopyralid,G,5.7,3.4,T,LU,,Q,H,O,811,52,,ND,8,7,21,50,3,WU,MT1
ND0807215003WUMT1,WU,318,MCPA,G,5.7,0.78,T,LU,,,H,O,811,52,,ND,8,7,21,50,3,WU,MT1
ND0807215003WUMT1,WU,305,Atrazine,R,3.6,0.66,T,LU,,,H,O,811,52,,ND,8,7,21,50,3,WU,MT1
ND0807215003WUMT1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,2.7,0.36,T,LU,,,H,O,811,52,,ND,8,7,21,50,3,WU,MT1
ND0808045003WUMT1,WU,26,"2,4-D",G,5.4,0.65,T,LU,,,H,O,811,52,,ND,8,8,4,50,3,WU,MT1
ND0808045003WUMT1,WU,305,Atrazine,R,3.9,0.66,T,LU,,,H,O,811,52,,ND,8,8,4,50,3,WU,MT1
ND0808045003WUMT1,WU,731,Triclopyr,G,2.7,1.6,T,LU,,Q,H,O,811,52,,ND,8,8,4,50,3,WU,MT1
ND0808045003WUMT1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,2.5,0.36,T,LU,,,H,O,811,52,,ND,8,8,4,50,3,WU,MT1
ND0808045003WUMT1,WU,758,Bentazon,F,1.8,0.18,T,LU,,,H,O,811,52,,ND,8,8,4,50,3,WU,MT1
ND0808045003WUMT1,WU,318,MCPA,G,1.3,0.78,T,LU,,Q,H,O,811,52,,ND,8,8,4,50,3,WU,MT1
ND0808045003WUMT1,WU,964,Desethyl atrazine,R,0.72,0.43,T,LU,,Q,H,O,811,52,,ND,8,8,4,50,3,WU,MT1
ND0808045003WUMT1,WU,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,8,4,50,3,WU,MT1
ND0808045003WUMT1,WU,942,Prometon,R,0.28,0.17,T,LU,,Q,H,O,811,52,,ND,8,8,4,50,3,WU,MT1
ND0808185003WUMT1,WU,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,8,18,50,3,WU,MT1
ND0808185003WUMT1,WU,26,"2,4-D",G,12,0.65,T,LU,,,H,O,811,52,,ND,8,8,18,50,3,WU,MT1
ND0808185003WUMT1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,2.8,0.36,T,LU,,,H,O,811,52,,ND,8,8,18,50,3,WU,MT1
ND0808185003WUMT1,WU,318,MCPA,G,1.3,0.78,T,LU,,Q,H,O,811,52,,ND,8,8,18,50,3,WU,MT1
ND0808185003WUMT1,WU,305,Atrazine,R,1.1,0.66,T,LU,,Q,H,O,811,52,,ND,8,8,18,50,3,WU,MT1
ND0808185003WUMT1,WU,AEY,Dimethenamid oxanilic acid (OA),F,1.05,0.63,T,LU,,Q,H,O,811,52,,ND,8,8,18,50,3,WU,MT1
ND0808185003WUMT1,WU,AEE,Imazamethabenz acid,J,1,0.6,T,LU,,Q,H,O,811,52,,ND,8,8,18,50,3,WU,MT1
ND0808185003WUMT1,WU,758,Bentazon,F,0.78,0.18,T,LU,,,H,O,811,52,,ND,8,8,18,50,3,WU,MT1
ND0808185003WUMT1,WU,942,Prometon,R,0.77,0.17,T,LU,,,H,O,811,52,,ND,8,8,18,50,3,WU,MT1
ND0809085003WUMT1,WU,942,Prometon,R,0.85,0.17,T,LU,,,H,O,811,52,,ND,8,9,8,50,3,WU,MT1
ND0809085003WUMT1,WU,964,Desethyl atrazine,R,0.72,0.43,T,LU,,Q,H,O,811,52,,ND,8,9,8,50,3,WU,MT1
ND0809085003WUMT1,WU,758,Bentazon,F,0.66,0.18,T,LU,,,H,O,811,52,,ND,8,9,8,50,3,WU,MT1
ND0809085003WUMT1,WU,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,9,8,50,3,WU,MT1
ND0809085003WUMT1,WU,26,"2,4-D",G,7,0.65,T,LU,,,H,O,811,52,,ND,8,9,8,50,3,WU,MT1
ND0809085003WUMT1,WU,B46,Clopyralid,G,5.7,3.4,T,LU,,Q,H,O,811,52,,ND,8,9,8,50,3,WU,MT1
ND0809085003WUMT1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,3.3,0.36,T,LU,,,H,O,811,52,,ND,8,9,8,50,3,WU,MT1
ND0809085003WUMT1,WU,ACB,Imazapyr,J,2,1,T,LU,,Q,H,O,811,52,,ND,8,9,8,50,3,WU,MT1
ND0809085003WUMT1,WU,318,MCPA,G,1.3,0.78,T,LU,,Q,H,O,811,52,,ND,8,9,8,50,3,WU,MT1
ND0809225003WUMT1,WU,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,9,22,50,3,WU,MT1
ND0809225003WUMT1,WU,26,"2,4-D",G,8.6,0.65,T,LU,,,H,O,811,52,,ND,8,9,22,50,3,WU,MT1
ND0809225003WUMT1,WU,B46,Clopyralid,G,5.7,3.4,T,LU,,Q,H,O,811,52,,ND,8,9,22,50,3,WU,MT1
ND0809225003WUMT1,WU,318,MCPA,G,3.6,0.78,T,LU,,,H,O,811,52,,ND,8,9,22,50,3,WU,MT1
ND0809225003WUMT1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,3.2,0.36,T,LU,,,H,O,811,52,,ND,8,9,22,50,3,WU,MT1
ND0809225003WUMT1,WU,ABP,Alachlor ethanesulfonic acid (ESA),A,2.8,1.7,T,LU,,Q,H,O,811,52,,ND,8,9,22,50,3,WU,MT1
ND0809225003WUMT1,WU,731,Triclopyr,G,2.7,1.6,T,LU,,Q,H,O,811,52,,ND,8,9,22,50,3,WU,MT1
ND0809225003WUMT1,WU,ACB,Imazapyr,J,2,1,T,LU,,Q,H,O,811,52,,ND,8,9,22,50,3,WU,MT1
ND0809225003WUMT1,WU,305,Atrazine,R,1.1,0.66,T,LU,,Q,H,O,811,52,,ND,8,9,22,50,3,WU,MT1
ND0809225003WUMT1,WU,942,Prometon,R,1,0.17,T,LU,,,H,O,811,52,,ND,8,9,22,50,3,WU,MT1
ND0809225003WUMT1,WU,964,Desethyl atrazine,R,0.72,0.43,T,LU,,Q,H,O,811,52,,ND,8,9,22,50,3,WU,MT1
ND0810065003WUMT1,WU,731,Triclopyr,G,2.7,1.6,T,LU,,Q,H,O,811,52,,ND,8,10,6,50,3,WU,MT1
ND0810065003WUMT1,WU,758,Bentazon,F,1.4,0.18,T,LU,,,H,O,811,52,,ND,8,10,6,50,3,WU,MT1
ND0810065003WUMT1,WU,318,MCPA,G,1.3,0.78,T,LU,,Q,H,O,811,52,,ND,8,10,6,50,3,WU,MT1
ND0810065003WUMT1,WU,305,Atrazine,R,1.1,0.66,T,LU,,Q,H,O,811,52,,ND,8,10,6,50,3,WU,MT1
ND0810065003WUMT1,WU,AEY,Dimethenamid oxanilic acid (OA),F,1.05,0.63,T,LU,,Q,H,O,811,52,,ND,8,10,6,50,3,WU,MT1
ND0810065003WUMT1,WU,942,Prometon,R,0.82,0.17,T,LU,,,H,O,811,52,,ND,8,10,6,50,3,WU,MT1
ND0810065003WUMT1,WU,964,Desethyl atrazine,R,0.72,0.43,T,LU,,Q,H,O,811,52,,ND,8,10,6,50,3,WU,MT1
ND0810065003WUMT1,WU,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,10,6,50,3,WU,MT1
ND0810065003WUMT1,WU,26,"2,4-D",G,9.9,0.65,T,LU,,,H,O,811,52,,ND,8,10,6,50,3,WU,MT1
ND0810065003WUMT1,WU,B46,Clopyralid,G,5.7,3.4,T,LU,,Q,H,O,811,52,,ND,8,10,6,50,3,WU,MT1
ND0810065003WUMT1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,4.5,0.36,T,LU,,,H,O,811,52,,ND,8,10,6,50,3,WU,MT1
ND0810205003WUMT1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,3.5,0.36,T,LU,,,H,O,811,52,,ND,8,10,20,50,3,WU,MT1
ND0810205003WUMT1,WU,731,Triclopyr,G,2.7,1.6,T,LU,,Q,H,O,811,52,,ND,8,10,20,50,3,WU,MT1
ND0810205003WUMT1,WU,758,Bentazon,F,1.4,0.18,T,LU,,,H,O,811,52,,ND,8,10,20,50,3,WU,MT1
ND0810205003WUMT1,WU,942,Prometon,R,1.3,0.17,T,LU,,,H,O,811,52,,ND,8,10,20,50,3,WU,MT1
ND0810205003WUMT1,WU,318,MCPA,G,1.3,0.78,T,LU,,Q,H,O,811,52,,ND,8,10,20,50,3,WU,MT1
ND0810205003WUMT1,WU,305,Atrazine,R,1.1,0.66,T,LU,,Q,H,O,811,52,,ND,8,10,20,50,3,WU,MT1
ND0810205003WUMT1,WU,AEY,Dimethenamid oxanilic acid (OA),F,1.05,0.63,T,LU,,Q,H,O,811,52,,ND,8,10,20,50,3,WU,MT1
ND0810205003WUMT1,WU,964,Desethyl atrazine,R,0.72,0.43,T,LU,,Q,H,O,811,52,,ND,8,10,20,50,3,WU,MT1
ND0810205003WUMT1,WU,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,10,20,50,3,WU,MT1
ND0810205003WUMT1,WU,26,"2,4-D",G,16,0.65,T,LU,,,H,O,811,52,,ND,8,10,20,50,3,WU,MT1
ND0811035003WUMT1,WU,942,Prometon,R,0.89,0.17,T,LU,,,H,O,811,52,,ND,8,11,3,50,3,WU,MT1
ND0811035003WUMT1,WU,964,Desethyl atrazine,R,0.72,0.43,T,LU,,Q,H,O,811,52,,ND,8,11,3,50,3,WU,MT1
ND0811035003WUMT1,WU,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,11,3,50,3,WU,MT1
ND0811035003WUMT1,WU,26,"2,4-D",G,16,0.65,T,LU,,,H,O,811,52,,ND,8,11,3,50,3,WU,MT1
ND0811035003WUMT1,WU,B46,Clopyralid,G,5.7,3.4,T,LU,,Q,H,O,811,52,,ND,8,11,3,50,3,WU,MT1
ND0811035003WUMT1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,3.6,0.36,T,LU,,,H,O,811,52,,ND,8,11,3,50,3,WU,MT1
ND0811035003WUMT1,WU,731,Triclopyr,G,2.7,1.6,T,LU,,Q,H,O,811,52,,ND,8,11,3,50,3,WU,MT1
ND0811035003WUMT1,WU,318,MCPA,G,1.3,0.78,T,LU,,Q,H,O,811,52,,ND,8,11,3,50,3,WU,MT1
ND0811035003WUMT1,WU,758,Bentazon,F,1.2,0.18,T,LU,,,H,O,811,52,,ND,8,11,3,50,3,WU,MT1
ND0811035003WUMT1,WU,305,Atrazine,R,1.1,0.66,T,LU,,Q,H,O,811,52,,ND,8,11,3,50,3,WU,MT1
ND0811175003WUMT1,WU,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,11,17,50,3,WU,MT1
ND0811175003WUMT1,WU,26,"2,4-D",G,35,0.65,T,LU,,,H,O,811,52,,ND,8,11,17,50,3,WU,MT1
ND0811175003WUMT1,WU,B46,Clopyralid,G,5.7,3.4,T,LU,,Q,H,O,811,52,,ND,8,11,17,50,3,WU,MT1
ND0811175003WUMT1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,4.1,0.36,T,LU,,,H,O,811,52,,ND,8,11,17,50,3,WU,MT1
ND0811175003WUMT1,WU,ABP,Alachlor ethanesulfonic acid (ESA),A,2.8,1.7,T,LU,,Q,H,O,811,52,,ND,8,11,17,50,3,WU,MT1
ND0811175003WUMT1,WU,731,Triclopyr,G,2.7,1.6,T,LU,,Q,H,O,811,52,,ND,8,11,17,50,3,WU,MT1
ND0811175003WUMT1,WU,ACB,Imazapyr,J,2,1,T,LU,,Q,H,O,811,52,,ND,8,11,17,50,3,WU,MT1
ND0811175003WUMT1,WU,318,MCPA,G,1.3,0.78,T,LU,,Q,H,O,811,52,,ND,8,11,17,50,3,WU,MT1
ND0811175003WUMT1,WU,758,Bentazon,F,1.2,0.18,T,LU,,,H,O,811,52,,ND,8,11,17,50,3,WU,MT1
ND0811175003WUMT1,WU,305,Atrazine,R,1.1,0.66,T,LU,,Q,H,O,811,52,,ND,8,11,17,50,3,WU,MT1
ND0811175003WUMT1,WU,AEY,Dimethenamid oxanilic acid (OA),F,1.05,0.63,T,LU,,Q,H,O,811,52,,ND,8,11,17,50,3,WU,MT1
ND0811175003WUMT1,WU,942,Prometon,R,0.9,0.17,T,LU,,,H,O,811,52,,ND,8,11,17,50,3,WU,MT1
ND0812015003WUMT1,WU,731,Triclopyr,G,2.7,1.6,T,LU,,Q,H,O,811,52,,ND,8,12,1,50,3,WU,MT1
ND0812015003WUMT1,WU,318,MCPA,G,1.3,0.78,T,LU,,Q,H,O,811,52,,ND,8,12,1,50,3,WU,MT1
ND0812015003WUMT1,WU,305,Atrazine,R,1.1,0.66,T,LU,,Q,H,O,811,52,,ND,8,12,1,50,3,WU,MT1
ND0812015003WUMT1,WU,AEY,Dimethenamid oxanilic acid (OA),F,1.05,0.63,T,LU,,Q,H,O,811,52,,ND,8,12,1,50,3,WU,MT1
ND0812015003WUMT1,WU,758,Bentazon,F,0.86,0.18,T,LU,,,H,O,811,52,,ND,8,12,1,50,3,WU,MT1
ND0812015003WUMT1,WU,942,Prometon,R,0.85,0.17,T,LU,,,H,O,811,52,,ND,8,12,1,50,3,WU,MT1
ND0812015003WUMT1,WU,964,Desethyl atrazine,R,0.72,0.43,T,LU,,Q,H,O,811,52,,ND,8,12,1,50,3,WU,MT1
ND0812015003WUMT1,WU,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,12,1,50,3,WU,MT1
ND0812015003WUMT1,WU,26,"2,4-D",G,6.6,0.65,T,LU,,,H,O,811,52,,ND,8,12,1,50,3,WU,MT1
ND0812015003WUMT1,WU,B46,Clopyralid,G,5.7,3.4,T,LU,,Q,H,O,811,52,,ND,8,12,1,50,3,WU,MT1
ND0812015003WUMT1,WU,ACG,Metolachlor ethanesulfonic acid (ESA),A,3.3,0.36,T,LU,,,H,O,811,52,,ND,8,12,1,50,3,WU,MT1
ND0812155003WUMT1,WU,ABP,Alachlor ethanesulfonic acid (ESA),A,2.8,1.7,T,LU,,Q,H,O,811,52,,ND,8,12,15,50,3,WU,MT1
ND0812155003WUMT1,WU,731,Triclopyr,G,2.7,1.6,T,LU,,Q,H,O,811,52,,ND,8,12,15,50,3,WU,MT1
ND0812155003WUMT1,WU,318,MCPA,G,1.3,0.78,T,LU,,Q,H,O,811,52,,ND,8,12,15,50,3,WU,MT1
ND0812155003WUMT1,WU,305,Atrazine,R,1.1,0.66,T,LU,,Q,H,O,811,52,,ND,8,12,15,50,3,WU,MT1
ND0812155003WUMT1,WU,AEY,Dimethenamid oxanilic acid (OA),F,1.05,0.63,T,LU,,Q,H,O,811,52,,ND,8,12,15,50,3,WU,MT1
ND0812155003WUMT1,WU,758,Bentazon,F,0.91,0.18,T,LU,,,H,O,811,52,,ND,8,12,15,50,3,WU,MT1
ND0812155003WUMT1,WU,942,Prometon,R,0.88,0.17,T,LU,,,H,O,811,52,,ND,8,12,15,50,3,WU,MT1
ND0812155003WUMT1,WU,964,Desethyl atrazine,R,0.72,0.43,T,LU,,Q,H,O,811,52,,ND,8,12,15,50,3,WU,MT1
ND0812155003WUMT1,WU,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,12,15,50,3,WU,MT1
ND0812155003WUMT1,WU,26,"2,4-D",G,7.9,0.65,T,LU,,,H,O,811,52,,ND,8,12,15,50,3,WU,MT1
ND0812155003WUMT1,WU,B46,Clopyralid,G,5.7,3.4,T,LU,,Q,H,O,811,52,,ND,8,12,15,50,3,WU,MT1
ND0801145003WRMT1,WR,ABP,Alachlor ethanesulfonic acid (ESA),A,2.8,1.7,T,LU,,Q,H,O,811,52,,ND,8,1,14,50,3,WR,MT1
ND0801285003WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,1.4,0.36,T,LU,,,H,O,811,52,,ND,8,1,28,50,3,WR,MT1
ND0802115003WRMT1,WR,ABP,Alachlor ethanesulfonic acid (ESA),A,2.8,1.7,T,LU,,Q,H,O,811,52,,ND,8,2,11,50,3,WR,MT1
ND0803105003WRMT1,WR,731,Triclopyr,G,6.7,1.6,T,LU,,,H,O,811,52,,ND,8,3,10,50,3,WR,MT1
ND0803245003WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,2.4,0.36,T,LU,,,H,O,811,52,,ND,8,3,24,50,3,WR,MT1
ND0804075003WRMT1,WR,318,MCPA,G,1.3,0.78,T,LU,,Q,H,O,811,52,,ND,8,4,7,50,3,WR,MT1
ND0804215003WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,2.3,0.36,T,LU,,,H,O,811,52,,ND,8,4,21,50,3,WR,MT1
ND0805055003WRMT1,WR,AED,Hydroxy atrazine,R,2,1.2,T,LU,,Q,H,O,811,52,,ND,8,5,5,50,3,WR,MT1
ND0805195003WRMT1,WR,180,Carbofuran,E,2,1,T,LU,,Q,H,O,811,52,,ND,8,5,19,50,3,WR,MT1
ND0806095003WRMT1,WR,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,6,9,50,3,WR,MT1
ND0806235003WRMT1,WR,305,Atrazine,R,1.1,0.66,T,LU,,Q,H,O,811,52,,ND,8,6,23,50,3,WR,MT1
ND0807075003WRMT1,WR,964,Desethyl atrazine,R,0.72,0.43,T,LU,,Q,H,O,811,52,,ND,8,7,7,50,3,WR,MT1
ND0807215003WRMT1,WR,758,Bentazon,F,1.1,0.18,T,LU,,,H,O,811,52,,ND,8,7,21,50,3,WR,MT1
ND0808045003WRMT1,WR,942,Prometon,R,0.76,0.17,T,LU,,,H,O,811,52,,ND,8,8,4,50,3,WR,MT1
ND0808185003WRMT1,WR,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,8,18,50,3,WR,MT1
ND0809085003WRMT1,WR,ACB,Imazapyr,J,2,1,T,LU,,Q,H,O,811,52,,ND,8,9,8,50,3,WR,MT1
ND0809225003WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,3.3,0.36,T,LU,,,H,O,811,52,,ND,8,9,22,50,3,WR,MT1
ND0810065003WRMT1,WR,964,Desethyl atrazine,R,0.72,0.43,T,LU,,Q,H,O,811,52,,ND,8,10,6,50,3,WR,MT1
ND0810205003WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,3.5,0.36,T,LU,,,H,O,811,52,,ND,8,10,20,50,3,WR,MT1
ND0811035003WRMT1,WR,780,Tebuthiuron,F,0.35,0.21,T,LU,,Q,H,O,811,52,,ND,8,11,3,50,3,WR,MT1
ND0811175003WRMT1,WR,758,Bentazon,F,0.3,0.18,T,LU,,Q,H,O,811,52,,ND,8,11,17,50,3,WR,MT1
ND0812015003WRMT1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,3.4,0.36,T,LU,,,H,O,811,52,,ND,8,12,1,50,3,WR,MT1
ND0812155003WRMT1,WR,942,Prometon,R,1.1,0.17,T,LU,,,H,O,811,52,,ND,8,12,15,50,3,WR,MT1
ND0801145003WUMT1,WU,26,"2,4-D",G,8,0.65,T,LU,,,H,O,811,52,,ND,8,1,14,50,3,WU,MT1
ND0801285003WUMT1,WU,942,Prometon,R,0.94,0.17,T,LU,,,H,O,811,52,,ND,8,1,28,50,3,WU,MT1
ND0802115003WUMT1,WU,964,Desethyl atrazine,R,0.72,0.43,T,LU,,Q,H,O,811,52,,ND,8,2,11,50,3,WU,MT1
